taxon1,taxon2,taxon3,taxon4,CF12.34,CF13.24,CF14.23
A_Lyr,Bsch_0,Da1_12,Dra_0,0.987,0.00650000000000001,0.00650000000000001
A_Lyr,Bsch_0,Co_1,Hau_0,0.265,0.343,0.392
A_Lyr,Bsch_0,Co_1,Dra_0,0.293,0.325,0.382
A_Lyr,Bsch_0,Cnt_1,Co_1,0.292,0.389,0.32
A_Lyr,Bsch_0,Cnt_1,Yo_0,0.308,0.341,0.351
A_Lyr,Bsch_0,Cnt_1,En_2,0.269,0.387,0.345
A_Lyr,Bsch_0,Co_1,En_2,0.265,0.345,0.39
A_Lyr,Bsch_0,Cnt_1,Da1_12,0.288,0.375,0.336
A_Lyr,Bsch_0,Co_1,Hey_1,0.254,0.414,0.332
A_Lyr,Bsch_0,Cnt_1,Dra_0,0.289,0.375,0.336
A_Lyr,Bsch_0,Co_1,Et_0,0.276,0.358,0.366
A_Lyr,Bsch_0,Co_1,Ha_0,0.24,0.352,0.408
A_Lyr,Bsch_0,Co_1,Da1_12,0.295,0.324,0.381
A_Lyr,Bsch_0,Cnt_1,Ha_0,0.294,0.362,0.344
A_Lyr,Bsch_0,Cnt_1,Et_0,0.328,0.368,0.304
A_Lyr,Bsch_0,Cnt_1,Is_0,0.22,0.557,0.223
A_Lyr,Bsch_0,Cnt_1,Uk_1,0.371,0.34,0.289
A_Lyr,Bsch_0,Co_1,Is_0,0.193,0.562,0.245
A_Lyr,Bsch_0,Cnt_1,Vind_1,0.496,0.257,0.247
A_Lyr,Bsch_0,Cnt_1,Tha_1,0.31,0.375,0.315
A_Lyr,Bsch_0,Co_1,Jm_0,0.234,0.378,0.389
A_Lyr,Bsch_0,Cnt_1,Uod_1,0.333,0.335,0.333
A_Lyr,Bsch_0,Cnt_1,Hey_1,0.292,0.419,0.29
A_Lyr,Bsch_0,Cnt_1,Ragl_1,0.29,0.41,0.3
A_Lyr,Bsch_0,Co_1,Kro_0,0.257,0.362,0.381
A_Lyr,Bsch_0,Cnt_1,Mnz_0,0.329,0.343,0.327
A_Lyr,Bsch_0,Co_1,Nw_0,0.245,0.368,0.387
